sample_id,label,n_qubits,n_gates,circuit_depth,transpiled_depth,transpiled_gates,n_rotation_gates,n_cnot_gates,n_hadamard_gates,total_rotation_angle,max_rotation_angle,mean_rotation_angle,feature_variance,feature_std,feature_norm_l1,feature_norm_l2,fidelity_with_reference,entanglement_measure,amplitude_variance,phase_variance,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5
0,good,6,1,1,1,1,0,0,0,2.880709495590687,0.832869426116284,0.48011824926511454,0.27164131747641157,0.5211922078047709,2.880709495590687,1.2798455478899304,0.012703981167850584,0.9590504081187707,0.003766426140799436,3.7237156401301017,0.832869426116284,-0.5388110972996472,-0.515580046947248,0.4968730149821544,-0.34319936585809546,-0.15337654438725806
1,good,6,1,1,1,1,0,0,0,3.13109416545361,0.832869426116284,0.5218490275756017,0.2978705721054875,0.5457752029045361,3.13109416545361,1.3684154446625953,0.031119286479972755,0.9660622178082934,0.003455260753405594,2.4485736346390023,0.832869426116284,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.5935840357210184,-0.15337654438725806
2,good,6,1,1,1,1,0,0,0,3.5004513828272215,1.247312475651457,0.5834085638045369,0.39199546889571407,0.6260954151690572,3.5004513828272215,1.6380433547353768,0.024660711741564856,0.9587569444380472,0.003906338521460325,2.8676936391838233,-1.247312475651457,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.5484982035594568,-0.15337654438725806
3,good,6,1,1,1,1,0,0,0,4.3440553705359894,1.9395630337539331,0.7240092284226649,0.7723974868549649,0.8788614719368263,4.3440553705359894,2.251558718306431,0.0395744738993137,0.9714051565975882,0.0028442587499948498,3.24275378306013,-0.6719430134603798,-0.5388110972996472,1.9395630337539331,0.4968730149821544,0.5434886666526166,-0.15337654438725806
4,good,6,1,1,1,1,0,0,0,4.043010301615659,1.9249374589412838,0.6738350502692766,0.6966332340308182,0.8346455738999747,4.043010301615659,2.166797650291541,0.01859880165352551,0.9570174925536868,0.00481735853810332,3.0557942705152543,0.47879591092177487,1.9249374589412838,-0.515580046947248,0.4968730149821544,-0.47344732543594015,-0.15337654438725806
5,good,6,1,1,1,1,0,0,0,5.087944641522594,2.0125866566448884,0.8479907735870991,0.37449908807857774,0.6119633061537086,5.087944641522594,2.5615473138329006,0.013984851332860943,0.9603574127858752,0.004521514702163103,2.8663017632066916,-0.6276838240610662,-0.5388110972996472,-0.515580046947248,-2.0125866566448884,-1.2399064721824877,-0.15337654438725806
6,good,6,1,1,1,1,0,0,0,3.235864745006026,1.2030532862521435,0.5393107908343376,0.25728853435587845,0.5072361721682301,3.235864745006026,1.5432370507665558,0.011901895884855386,0.9659956825879862,0.0039895520135136,2.817589300855082,-1.2030532862521435,-0.5388110972996472,-0.515580046947248,0.4968730149821544,-0.3281707551375749,-0.15337654438725806
7,good,6,1,1,1,1,0,0,0,4.546709244458627,2.0125866566448884,0.7577848740764378,0.6973395429766422,0.8350685857919948,4.546709244458627,2.359527281329966,0.03387989248454264,0.9556665241841125,0.005073583499989417,2.8452006728237915,0.832869426116284,-0.5388110972996472,-0.515580046947248,-2.0125866566448884,-0.4934854730633009,-0.15337654438725806
8,good,6,1,1,1,1,0,0,0,5.498100865967135,1.9395630337539331,0.9163501443278559,1.2403294753534375,1.113700801541167,5.498100865967135,2.7485832959083663,0.010684754659318181,0.976063979545547,0.0020986374725000707,3.3721303844177433,-1.6456451802452798,-0.5388110972996472,1.9395630337539331,0.4968730149821544,0.7238319952988631,-0.15337654438725806
9,good,6,1,1,1,1,0,0,0,3.8553940359297125,1.2915716650507707,0.6425656726549521,0.3113432709583779,0.5579814252807864,3.8553940359297125,1.7980260966101769,0.08790288140170384,0.9515729199893567,0.004906364968569971,2.9797302110396187,-1.2915716650507707,-0.5388110972996472,-0.515580046947248,0.4968730149821544,-0.8591816672626341,-0.15337654438725806
10,good,6,1,1,1,1,0,0,0,4.115889070470371,2.0125866566448884,0.6859815117450618,0.7212047783781518,0.849237763160678,4.115889070470371,2.3081958363457886,0.07524787038134904,0.9638400749434588,0.004202569256882767,3.0100650062171797,0.832869426116284,-0.5388110972996472,-0.515580046947248,-2.0125866566448884,-0.0626652990750453,-0.15337654438725806
11,good,6,1,1,1,1,0,0,0,2.187036087763074,0.515580046947248,0.364506014627179,0.1350241348008162,0.36745630325361983,2.187036087763074,0.964527393838105,0.0724902088479709,0.9578637935807068,0.004391434529729077,2.710239772494353,0.3017591533245203,0.2110254198171579,-0.515580046947248,0.4968730149821544,0.5084219083047353,-0.15337654438725806
12,good,6,1,1,1,1,0,0,0,4.201764414419024,1.9395630337539331,0.7002940690698374,0.8285577077551566,0.9102514530365533,4.201764414419024,2.273876023991849,0.0053496392088212535,0.9736614941987592,0.002914400107519188,2.385339814118473,-0.9374981498562617,0.2110254198171579,1.9395630337539331,0.4968730149821544,-0.46342825162225976,-0.15337654438725806
13,good,6,1,1,1,1,0,0,0,4.056548542791179,1.9249374589412838,0.6760914237985299,0.7321754060786824,0.8556724876251909,4.056548542791179,2.179429092515376,0.01133553609447069,0.9728789254142484,0.0031579306828170934,3.6293945009594006,-0.6276838240610662,1.9249374589412838,-0.515580046947248,0.4968730149821544,0.3380976534721692,-0.15337654438725806
14,good,6,1,1,1,1,0,0,0,5.079519435882233,1.9249374589412838,0.8465865726470388,1.1722812276409358,1.0827193669834005,5.079519435882233,2.658474142508327,0.010643233456672228,0.9730043960583771,0.002844682866354208,3.346975406396258,-1.6456451802452798,1.9249374589412838,-0.515580046947248,0.4968730149821544,0.3431071903790094,-0.15337654438725806
15,good,6,1,1,1,1,0,0,0,3.8136219600047614,1.6456451802452798,0.6356036600007936,0.5253342714675909,0.7247994698312016,3.8136219600047614,1.9363304778599344,0.024791393999568936,0.9431003134195871,0.005169034496707589,3.103692752157089,-1.6456451802452798,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.4633360761431737,-0.15337654438725806
16,good,6,1,1,1,1,0,0,0,4.256156103861896,2.0125866566448884,0.7093593506436493,0.7077742813088422,0.84129321957855,4.256156103861896,2.316251845282847,0.01945410610434525,0.9567333559992164,0.00416565572048952,3.452226772430027,0.832869426116284,-0.5388110972996472,-0.515580046947248,-2.0125866566448884,-0.20293233246657036,-0.15337654438725806
17,good,6,1,1,1,1,0,0,0,4.109324991620005,1.9395630337539331,0.6848874986033341,0.5988936706696221,0.77388220723158,4.109324991620005,2.21629523967498,0.02672143912504015,0.9752643211470157,0.0023133540079687924,2.74855901162037,-0.49490625586312526,0.7466229320434472,1.9395630337539331,0.4968730149821544,0.277983210590087,-0.15337654438725806
18,good,6,1,1,1,1,0,0,0,2.560006958073829,0.832869426116284,0.4266678263456382,0.25287437601171414,0.502866161132079,2.560006958073829,1.2331767630853625,0.009084336566382682,0.9665902031826812,0.003732249304785579,3.0720528418407165,0.832869426116284,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.022496828341237778,-0.15337654438725806
19,good,6,1,1,1,1,0,0,0,3.9579929635746316,1.39576711686171,0.6596654939291052,0.5817883833080294,0.7627505380581711,3.9579929635746316,1.8696603269257275,0.015012995891518896,0.9717219957975273,0.002995819847444724,3.89868529212322,0.832869426116284,-1.39576711686171,-0.515580046947248,0.4968730149821544,0.5635268142799773,-0.15337654438725806
